ID	PRIMER	BARCODE	ERROR
SRR1383456.1778	IGHV_13		0.0
SRR1383456.1919	IGHV_37		0.15000000000000002
SRR1383456.1788	IGHV_10		0.0
SRR1383456.1829	IGHV_44		0.0
SRR1383456.1978	IGHV_27		0.04347826086956519
SRR1383456.2151	IGHV_2		0.0
SRR1383456.2325	IGHV_2		0.0
SRR1383456.2342	IGHV_17		0.04761904761904767
SRR1383456.2047	IGHV_4		0.5652173913043479
SRR1383456.1705	IGHV_37		0.09999999999999998
SRR1383456.2457	IGHV_3		0.0
SRR1383456.2491	IGHV_7		0.0
SRR1383456.2419	IGHV_3		0.0
SRR1383456.2552	IGHV_14		0.0
SRR1383456.2362	IGHV_30		0.0
SRR1383456.2587	IGHV_2		0.0
SRR1383456.2413	IGHV_2		0.0
SRR1383456.2558	IGHV_30		0.0
SRR1383456.2593	IGHV_10		0.0
SRR1383456.2613	IGHV_3		0.0
SRR1383456.2629	IGHV_13		0.0
SRR1383456.2687	IGHV_17		0.04761904761904767
SRR1383456.2660	IGHV_14		0.0
SRR1383456.2626	IGHV_2		0.0
SRR1383456.2692	IGHV_32		0.0
SRR1383456.2609	IGHV_37		0.050000000000000044
SRR1383456.2679	IGHV_32		0.0
SRR1383456.2686	IGHV_12		0.0
SRR1383456.2696	IGHV_30		0.08695652173913049
SRR1383456.2681	IGHV_14		0.0
SRR1383456.2763	IGHV_2		0.0
SRR1383456.2700	IGHV_43		0.0
SRR1383456.2644	IGHV_11		0.0
SRR1383456.2796	IGHV_17		0.0
SRR1383456.2759	IGHV_32		0.0
SRR1383456.2780	IGHV_36		0.0
SRR1383456.2835	IGHV_44		0.0
SRR1383456.2671	IGHV_28		0.0
SRR1383456.2724	IGHV_30		0.0
SRR1383456.2850	IGHV_35		0.04761904761904767
SRR1383456.2870	IGHV_27		0.13043478260869568
SRR1383456.2903	IGHV_27		0.13043478260869568
SRR1383456.2855	IGHV_11		0.0
SRR1383456.2887	IGHV_32		0.0
SRR1383456.3008	IGHV_40		0.04166666666666663
SRR1383456.3042	IGHV_2		0.0
SRR1383456.2958	IGHV_10		0.0
SRR1383456.3072	IGHV_14		0.0
SRR1383456.2946	IGHV_37		0.0
SRR1383456.3062	IGHV_2		0.0
SRR1383456.2970	IGHV_2		0.0
SRR1383456.3031	IGHV_27		0.04347826086956519
SRR1383456.3080	IGHV_28		0.04166666666666663
SRR1383456.2917	IGHV_27		0.13043478260869568
SRR1383456.3004	IGHV_37		0.050000000000000044
SRR1383456.3104	IGHV_2		0.04347826086956519
SRR1383456.3133	IGHV_2		0.04347826086956519
SRR1383456.3124	IGHV_2		0.0
SRR1383456.3136	IGHV_17		0.0
SRR1383456.3149	IGHV_2		0.04347826086956519
SRR1383456.3141	IGHV_15		0.0
SRR1383456.3162	IGHV_27		0.04347826086956519
SRR1383456.3177	IGHV_22		0.08333333333333337
SRR1383456.3018	IGHV_15		0.0
SRR1383456.3142	IGHV_35		0.1428571428571429
SRR1383456.3160	IGHV_2		0.0
SRR1383456.3241	IGHV_30		0.0
SRR1383456.3147	IGHV_14		0.0
SRR1383456.3180	IGHV_44		0.0
SRR1383456.3188	IGHV_1		0.13636363636363635
SRR1383456.3196	IGHV_3		0.0
SRR1383456.3256	IGHV_26		0.0
SRR1383456.3274	IGHV_2		0.0
SRR1383456.3322	IGHV_33		0.0
SRR1383456.3283	IGHV_39		0.04166666666666663
SRR1383456.3331	IGHV_2		0.0
SRR1383456.3316	IGHV_33		0.0
SRR1383456.3384	IGHV_2		0.0
SRR1383456.3280	IGHV_2		0.0
SRR1383456.3348	IGHV_25		0.5769230769230769
SRR1383456.3351	IGHV_26		0.0
SRR1383456.3319	IGHV_6		0.0
SRR1383456.3396	IGHV_14		0.0
SRR1383456.3514	IGHV_43		0.038461538461538436
SRR1383456.3481	IGHV_12		0.04166666666666663
SRR1383456.3337	IGHV_2		0.0
SRR1383456.3524	IGHV_44		0.0
SRR1383456.3422	IGHV_39		0.04166666666666663
SRR1383456.3433	IGHV_32		0.0
SRR1383456.3448	IGHV_33		0.0
SRR1383456.3529	IGHV_28		0.0
SRR1383456.3570	IGHV_7		0.0
SRR1383456.3544	IGHV_8		0.0
SRR1383456.3561	IGHV_13		0.0
SRR1383456.3537	IGHV_3		0.0
SRR1383456.3476	IGHV_28		0.08333333333333337
SRR1383456.3697	IGHV_35		0.23809523809523814
SRR1383456.3632	IGHV_2		0.0
SRR1383456.3625	IGHV_5		0.6521739130434783
SRR1383456.3705	IGHV_44		0.0
SRR1383456.3641	IGHV_33		0.0
SRR1383456.3729	IGHV_13		0.04166666666666663
SRR1383456.3659	IGHV_27		0.17391304347826086
SRR1383456.3660	IGHV_2		0.0
SRR1383456.3800	IGHV_10		0.0
SRR1383456.3778	IGHV_33		0.0
SRR1383456.3677	IGHV_11		0.0
SRR1383456.3783	IGHV_13		0.0
SRR1383456.3796	IGHV_30		0.0
SRR1383456.3718	IGHV_2		0.0
SRR1383456.3882	IGHV_3		0.0
SRR1383456.3810	IGHV_14		0.045454545454545414
SRR1383456.3861	IGHV_3		0.0
SRR1383456.3849	IGHV_26		0.045454545454545414
SRR1383456.3913	IGHV_10		0.0
SRR1383456.3942	IGHV_26		0.0
SRR1383456.3950	IGHV_3		0.6923076923076923
SRR1383456.3827	IGHV_2		0.0
SRR1383456.3936	IGHV_20		0.08333333333333337
SRR1383456.3982	IGHV_28		0.04166666666666663
SRR1383456.3999	IGHV_27		0.13043478260869568
SRR1383456.3710	IGHV_1		0.045454545454545414
SRR1383456.4062	IGHV_17		0.04761904761904767
SRR1383456.3998	IGHV_14		0.0
SRR1383456.4101	IGHV_21		0.04166666666666663
SRR1383456.4080	IGHV_1		0.0
SRR1383456.4126	IGHV_44		0.0
SRR1383456.4153	IGHV_10		0.04347826086956519
SRR1383456.4079	IGHV_2		0.0
SRR1383456.4183	IGHV_27		0.13043478260869568
SRR1383456.4163	IGHV_36		0.04166666666666663
SRR1383456.4110	IGHV_14		0.0
SRR1383456.4127	IGHV_6		0.0
SRR1383456.4065	IGHV_37		0.0
SRR1383456.4243	IGHV_2		0.0
SRR1383456.4207	IGHV_10		0.0
SRR1383456.4275	IGHV_26		0.0
SRR1383456.4305	IGHV_17		0.0
SRR1383456.4156	IGHV_1		0.18181818181818177
SRR1383456.4399	IGHV_14		0.0
SRR1383456.4411	IGHV_27		0.13043478260869568
SRR1383456.4250	IGHV_11		0.0
SRR1383456.4212	IGHV_22		0.04166666666666663
SRR1383456.4646	IGHV_27		0.13043478260869568
SRR1383456.4273	IGHV_7		0.0
SRR1383456.4419	IGHV_3		0.0
SRR1383456.4676	IGHV_14		0.0
SRR1383456.4240	IGHV_39		0.04166666666666663
SRR1383456.4251	IGHV_40		0.0
SRR1383456.4706	IGHV_14		0.0
SRR1383456.4654	IGHV_7		0.0
SRR1383456.4657	IGHV_30		0.0
SRR1383456.4688	IGHV_2		0.0
SRR1383456.4711	IGHV_44		0.0
SRR1383456.4670	IGHV_17		0.0
SRR1383456.4766	IGHV_33		0.0
SRR1383456.4694	IGHV_21		0.04166666666666663
SRR1383456.4844	IGHV_8		0.0
SRR1383456.4763	IGHV_14		0.0
SRR1383456.4778	IGHV_7		0.0
SRR1383456.4859	IGHV_2		0.0
SRR1383456.4846	IGHV_11		0.0
SRR1383456.4847	IGHV_6		0.0
SRR1383456.4897	IGHV_28		0.08333333333333337
SRR1383456.4920	IGHV_36		0.0
SRR1383456.4918	IGHV_14		0.0
SRR1383456.4912	IGHV_36		0.04166666666666663
SRR1383456.4749	IGHV_44		0.0
SRR1383456.4928	IGHV_33		0.0
SRR1383456.4870	IGHV_28		0.04166666666666663
SRR1383456.4947	IGHV_1		0.13636363636363635
SRR1383456.4878	IGHV_13		0.0
SRR1383456.4931	IGHV_2		0.0
SRR1383456.4830	IGHV_36		0.0
SRR1383456.4963	IGHV_32		0.0
SRR1383456.4961	IGHV_27		0.13043478260869568
SRR1383456.4776	IGHV_39		0.0
SRR1383456.4959	IGHV_22		0.04166666666666663
SRR1383456.5031	IGHV_2		0.04347826086956519
SRR1383456.4975	IGHV_17		0.04761904761904767
SRR1383456.4972	IGHV_2		0.0
SRR1383456.5005	IGHV_2		0.0
SRR1383456.5047	IGHV_2		0.04347826086956519
SRR1383456.4957	IGHV_2		0.0
SRR1383456.5001	IGHV_36		0.0
SRR1383456.5013	IGHV_27		0.17391304347826086
SRR1383456.5041	IGHV_13		0.0
SRR1383456.5089	IGHV_26		0.0
SRR1383456.4988	IGHV_30		0.08695652173913049
SRR1383456.5080	IGHV_43		0.038461538461538436
SRR1383456.5036	IGHV_12		0.0
SRR1383456.5110	IGHV_21		0.0
SRR1383456.5085	IGHV_2		0.0
SRR1383456.5101	IGHV_2		0.0
SRR1383456.5099	IGHV_36		0.04166666666666663
SRR1383456.5123	IGHV_2		0.0
SRR1383456.5140	IGHV_3		0.0
SRR1383456.5155	IGHV_2		0.0
SRR1383456.5168	IGHV_27		0.13043478260869568
SRR1383456.5158	IGHV_10		0.0
SRR1383456.5200	IGHV_2		0.0
SRR1383456.5184	IGHV_2		0.0
SRR1383456.5189	IGHV_8		0.04166666666666663
SRR1383456.5256	IGHV_21		0.04166666666666663
SRR1383456.5250	IGHV_3		0.0
SRR1383456.5148	IGHV_44		0.0
SRR1383456.5176	IGHV_6		0.04347826086956519
SRR1383456.5255	IGHV_10		0.0
SRR1383456.5258	IGHV_11		0.0
SRR1383456.5193	IGHV_2		0.0
SRR1383456.5265	IGHV_16		0.04166666666666663
SRR1383456.5272	IGHV_17		0.0
SRR1383456.5288	IGHV_2		0.0
SRR1383456.5377	IGHV_2		0.0
SRR1383456.5289	IGHV_39		0.04166666666666663
SRR1383456.5343	IGHV_3		0.0
SRR1383456.5385	IGHV_3		0.0
SRR1383456.5249	IGHV_45		0.07999999999999996
SRR1383456.5292	IGHV_7		0.0
SRR1383456.5399	IGHV_2		0.0
SRR1383456.5339	IGHV_33		0.0
SRR1383456.5321	IGHV_14		0.0
SRR1383456.5416	IGHV_37		0.0
SRR1383456.5406	IGHV_3		0.0
SRR1383456.5520	IGHV_37		0.55
SRR1383456.5426	IGHV_32		0.0
SRR1383456.5293	IGHV_11		0.0
SRR1383456.5450	IGHV_14		0.0
SRR1383456.5487	IGHV_14		0.0
SRR1383456.5513	IGHV_6		0.0
SRR1383456.5544	IGHV_12		0.0
SRR1383456.5454	IGHV_44		0.0
SRR1383456.5526	IGHV_2		0.0
SRR1383456.5530	IGHV_2		0.0
SRR1383456.5424	IGHV_26		0.045454545454545414
SRR1383456.5538	IGHV_2		0.0
SRR1383456.5522	IGHV_6		0.0
SRR1383456.5570	IGHV_2		0.0
SRR1383456.5463	IGHV_2		0.0
SRR1383456.5529	IGHV_32		0.0
SRR1383456.5514	IGHV_28		0.04166666666666663
SRR1383456.5561	IGHV_44		0.0
SRR1383456.5559	IGHV_1		0.2272727272727273
SRR1383456.5442	IGHV_4		0.0
SRR1383456.5616	IGHV_30		0.0
SRR1383456.5626	IGHV_27		0.13043478260869568
SRR1383456.5630	IGHV_21		0.0
SRR1383456.5628	IGHV_2		0.0
SRR1383456.5571	IGHV_4		0.0
SRR1383456.5651	IGHV_26		0.0
SRR1383456.5583	IGHV_32		0.0
SRR1383456.5639	IGHV_7		0.0
SRR1383456.5662	IGHV_41		0.0
SRR1383456.5665	IGHV_10		0.0
SRR1383456.5670	IGHV_10		0.0
SRR1383456.5680	IGHV_15		0.20833333333333337
SRR1383456.5685	IGHV_40		0.04166666666666663
SRR1383456.5713	IGHV_2		0.0
SRR1383456.5613	IGHV_7		0.0
SRR1383456.5695	IGHV_30		0.0
SRR1383456.5726	IGHV_35		0.04761904761904767
SRR1383456.5729	IGHV_43		0.0
SRR1383456.5725	IGHV_27		0.13043478260869568
SRR1383456.5732	IGHV_3		0.0
SRR1383456.5751	IGHV_2		0.0
SRR1383456.5750	IGHV_2		0.0
SRR1383456.5744	IGHV_5		0.0
SRR1383456.5747	IGHV_2		0.0
SRR1383456.5749	IGHV_4		0.6521739130434783
SRR1383456.5787	IGHV_15		0.0
SRR1383456.5796	IGHV_16		0.04166666666666663
SRR1383456.5803	IGHV_32		0.0
SRR1383456.5841	IGHV_17		0.0
SRR1383456.5799	IGHV_2		0.0
SRR1383456.5822	IGHV_14		0.0
SRR1383456.5848	IGHV_7		0.0
SRR1383456.5825	IGHV_7		0.0
SRR1383456.5812	IGHV_35		0.04761904761904767
SRR1383456.5856	IGHV_17		0.0
SRR1383456.5824	IGHV_2		0.0
SRR1383456.5849	IGHV_7		0.0
SRR1383456.5852	IGHV_32		0.0
SRR1383456.5879	IGHV_2		0.04347826086956519
SRR1383456.5949	IGHV_7		0.0
SRR1383456.5881	IGHV_32		0.04347826086956519
SRR1383456.5925	IGHV_3		0.0
SRR1383456.5874	IGHV_11		0.0
SRR1383456.5933	IGHV_3		0.0
SRR1383456.5947	IGHV_2		0.0
SRR1383456.5886	IGHV_44		0.0
SRR1383456.5929	IGHV_6		0.0
SRR1383456.5880	IGHV_33		0.0
SRR1383456.5955	IGHV_15		0.04166666666666663
SRR1383456.6016	IGHV_27		0.0
SRR1383456.5990	IGHV_44		0.0
SRR1383456.5950	IGHV_43		0.0
SRR1383456.6012	IGHV_27		0.13043478260869568
SRR1383456.6019	IGHV_22		0.04166666666666663
SRR1383456.6015	IGHV_2		0.0
SRR1383456.5999	IGHV_27		0.13043478260869568
SRR1383456.6010	IGHV_13		0.0
SRR1383456.5975	IGHV_2		0.0
SRR1383456.6033	IGHV_2		0.0
SRR1383456.6001	IGHV_10		0.0
SRR1383456.6022	IGHV_17		0.04761904761904767
SRR1383456.6093	IGHV_14		0.0
SRR1383456.6065	IGHV_7		0.0
SRR1383456.6061	IGHV_33		0.0
SRR1383456.6129	IGHV_2		0.0
SRR1383456.6139	IGHV_11		0.0
SRR1383456.6025	IGHV_15		0.0
SRR1383456.6172	IGHV_14		0.0
SRR1383456.6182	IGHV_44		0.0
SRR1383456.6194	IGHV_21		0.0
SRR1383456.6149	IGHV_3		0.0
SRR1383456.6188	IGHV_44		0.0
SRR1383456.6225	IGHV_45		0.040000000000000036
SRR1383456.6239	IGHV_2		0.0
SRR1383456.6209	IGHV_2		0.0
SRR1383456.6214	IGHV_44		0.0
SRR1383456.6252	IGHV_10		0.17391304347826086
SRR1383456.6258	IGHV_2		0.0
SRR1383456.6195	IGHV_32		0.17391304347826086
SRR1383456.6281	IGHV_14		0.045454545454545414
SRR1383456.6298	IGHV_3		0.0
SRR1383456.6269	IGHV_28		0.04166666666666663
SRR1383456.6305	IGHV_28		0.0
SRR1383456.6282	IGHV_2		0.0
SRR1383456.6308	IGHV_2		0.0
SRR1383456.6330	IGHV_2		0.0
SRR1383456.6331	IGHV_14		0.0
SRR1383456.6352	IGHV_44		0.0
SRR1383456.6423	IGHV_2		0.0
SRR1383456.6362	IGHV_2		0.0
SRR1383456.6371	IGHV_26		0.18181818181818177
SRR1383456.6444	IGHV_40		0.04166666666666663
SRR1383456.6431	IGHV_11		0.0
SRR1383456.6403	IGHV_2		0.0
SRR1383456.6398	IGHV_2		0.0
SRR1383456.6434	IGHV_2		0.0
SRR1383456.6440	IGHV_26		0.0
SRR1383456.6376	IGHV_11		0.0
SRR1383456.6449	IGHV_2		0.0
SRR1383456.6356	IGHV_15		0.20833333333333337
SRR1383456.6480	IGHV_33		0.0
SRR1383456.6323	IGHV_39		0.04166666666666663
SRR1383456.6420	IGHV_10		0.0
SRR1383456.6494	IGHV_17		0.0
SRR1383456.6469	IGHV_3		0.0
SRR1383456.6506	IGHV_2		0.0
SRR1383456.6441	IGHV_13		0.0
SRR1383456.6638	IGHV_14		0.0
SRR1383456.6659	IGHV_2		0.0
SRR1383456.6512	IGHV_3		0.0
SRR1383456.6390	IGHV_10		0.0
SRR1383456.6590	IGHV_26		0.0
SRR1383456.6842	IGHV_17		0.0
SRR1383456.6897	IGHV_2		0.0
SRR1383456.6737	IGHV_14		0.0
SRR1383456.6803	IGHV_14		0.045454545454545414
SRR1383456.6982	IGHV_2		0.0
SRR1383456.6952	IGHV_2		0.0
SRR1383456.6614	IGHV_41		0.0
SRR1383456.6840	IGHV_2		0.0
SRR1383456.6954	IGHV_2		0.0
SRR1383456.6959	IGHV_32		0.0
SRR1383456.6990	IGHV_44		0.0
SRR1383456.6605	IGHV_30		0.0
SRR1383456.6996	IGHV_3		0.0
SRR1383456.7005	IGHV_4		0.0
SRR1383456.6779	IGHV_16		0.0
SRR1383456.7004	IGHV_37		0.0
SRR1383456.6968	IGHV_2		0.0
SRR1383456.7028	IGHV_15		0.04166666666666663
SRR1383456.7017	IGHV_27		0.17391304347826086
SRR1383456.7000	IGHV_2		0.0
SRR1383456.7041	IGHV_10		0.0
SRR1383456.7071	IGHV_10		0.0
SRR1383456.7050	IGHV_4		0.0
SRR1383456.7027	IGHV_14		0.0
SRR1383456.7097	IGHV_27		0.13043478260869568
SRR1383456.7055	IGHV_32		0.0
SRR1383456.7038	IGHV_2		0.0
SRR1383456.7083	IGHV_33		0.0
SRR1383456.7056	IGHV_32		0.0
SRR1383456.7100	IGHV_28		0.0
SRR1383456.7130	IGHV_2		0.0
SRR1383456.7156	IGHV_32		0.0
SRR1383456.7182	IGHV_14		0.0
SRR1383456.7153	IGHV_36		0.04166666666666663
SRR1383456.7205	IGHV_35		0.19047619047619047
SRR1383456.7138	IGHV_2		0.0
SRR1383456.7161	IGHV_27		0.13043478260869568
SRR1383456.7167	IGHV_2		0.0
SRR1383456.7209	IGHV_3		0.0
SRR1383456.7213	IGHV_15		0.0
SRR1383456.7191	IGHV_2		0.0
SRR1383456.7187	IGHV_13		0.04166666666666663
SRR1383456.7250	IGHV_37		0.0
SRR1383456.7258	IGHV_22		0.04166666666666663
SRR1383456.7117	IGHV_10		0.0
SRR1383456.7257	IGHV_15		0.6666666666666667
SRR1383456.7202	IGHV_27		0.13043478260869568
SRR1383456.7280	IGHV_14		0.0
SRR1383456.7241	IGHV_2		0.0
SRR1383456.7302	IGHV_13		0.08333333333333337
SRR1383456.7276	IGHV_22		0.04166666666666663
SRR1383456.7305	IGHV_7		0.0
SRR1383456.7287	IGHV_30		0.0
SRR1383456.7309	IGHV_10		0.0
SRR1383456.7325	IGHV_1		0.0
SRR1383456.7334	IGHV_14		0.0
SRR1383456.7274	IGHV_7		0.0
SRR1383456.7332	IGHV_32		0.0
SRR1383456.7310	IGHV_7		0.0
SRR1383456.7342	IGHV_44		0.0
SRR1383456.7338	IGHV_37		0.09999999999999998
SRR1383456.7354	IGHV_2		0.0
SRR1383456.7351	IGHV_2		0.04347826086956519
SRR1383456.7362	IGHV_3		0.0
SRR1383456.7370	IGHV_33		0.0
SRR1383456.7377	IGHV_14		0.0
SRR1383456.7386	IGHV_42		0.30434782608695654
SRR1383456.7359	IGHV_7		0.0
SRR1383456.7353	IGHV_7		0.5384615384615384
SRR1383456.7329	IGHV_33		0.0
SRR1383456.7409	IGHV_35		0.0
SRR1383456.7432	IGHV_7		0.0
SRR1383456.7412	IGHV_32		0.0
SRR1383456.7423	IGHV_37		0.0
SRR1383456.7416	IGHV_37		0.0
SRR1383456.7426	IGHV_41		0.0
SRR1383456.7440	IGHV_2		0.0
SRR1383456.7415	IGHV_10		0.0
SRR1383456.7460	IGHV_17		0.04761904761904767
SRR1383456.7473	IGHV_13		0.04166666666666663
SRR1383456.7446	IGHV_11		0.0
SRR1383456.7461	IGHV_28		0.04166666666666663
SRR1383456.7456	IGHV_2		0.0
SRR1383456.7492	IGHV_3		0.0
SRR1383456.7355	IGHV_22		0.04166666666666663
SRR1383456.7501	IGHV_27		0.13043478260869568
SRR1383456.7503	IGHV_28		0.04166666666666663
SRR1383456.7490	IGHV_27		0.13043478260869568
SRR1383456.7480	IGHV_12		0.75
SRR1383456.7508	IGHV_44		0.0
SRR1383456.7588	IGHV_13		0.0
SRR1383456.7530	IGHV_36		0.04166666666666663
SRR1383456.7533	IGHV_33		0.0
SRR1383456.7596	IGHV_13		0.08333333333333337
SRR1383456.7597	IGHV_2		0.0
SRR1383456.7636	IGHV_13		0.04166666666666663
SRR1383456.7554	IGHV_10		0.0
SRR1383456.7485	IGHV_2		0.0
SRR1383456.7542	IGHV_21		0.0
SRR1383456.7594	IGHV_2		0.0
SRR1383456.7638	IGHV_22		0.0
SRR1383456.7536	IGHV_45		0.16000000000000003
SRR1383456.7609	IGHV_3		0.7692307692307692
SRR1383456.7506	IGHV_20		0.04166666666666663
SRR1383456.7631	IGHV_14		0.0
SRR1383456.7697	IGHV_10		0.0
SRR1383456.7634	IGHV_36		0.04166666666666663
SRR1383456.7671	IGHV_2		0.0
SRR1383456.7652	IGHV_33		0.0
SRR1383456.7737	IGHV_14		0.0
SRR1383456.7618	IGHV_14		0.0
SRR1383456.7696	IGHV_7		0.0
SRR1383456.7518	IGHV_33		0.0
SRR1383456.7675	IGHV_5		0.34782608695652173
SRR1383456.7735	IGHV_27		0.13043478260869568
SRR1383456.7713	IGHV_3		0.7307692307692308
SRR1383456.7736	IGHV_3		0.46153846153846156
SRR1383456.7789	IGHV_2		0.0
SRR1383456.7796	IGHV_14		0.13636363636363635
SRR1383456.7762	IGHV_7		0.0
SRR1383456.7806	IGHV_32		0.0
SRR1383456.7822	IGHV_27		0.17391304347826086
SRR1383456.7798	IGHV_26		0.0
SRR1383456.7657	IGHV_2		0.0
SRR1383456.7788	IGHV_2		0.0
SRR1383456.7819	IGHV_2		0.0
SRR1383456.7843	IGHV_2		0.0
SRR1383456.7787	IGHV_26		0.0
SRR1383456.7802	IGHV_28		0.04166666666666663
SRR1383456.7907	IGHV_2		0.0
SRR1383456.7849	IGHV_37		0.0
SRR1383456.7935	IGHV_39		0.04166666666666663
SRR1383456.7850	IGHV_14		0.5454545454545454
SRR1383456.7830	IGHV_40		0.04166666666666663
SRR1383456.7856	IGHV_13		0.0
SRR1383456.7727	IGHV_17		0.04761904761904767
SRR1383456.7845	IGHV_9		0.04166666666666663
SRR1383456.7928	IGHV_10		0.0
SRR1383456.7931	IGHV_2		0.0
SRR1383456.7902	IGHV_32		0.0
SRR1383456.7887	IGHV_2		0.04347826086956519
SRR1383456.7911	IGHV_2		0.0
SRR1383456.8001	IGHV_10		0.04347826086956519
SRR1383456.7932	IGHV_37		0.0
SRR1383456.7961	IGHV_3		0.0
SRR1383456.7985	IGHV_14		0.0
SRR1383456.8010	IGHV_7		0.0
SRR1383456.7951	IGHV_27		0.13043478260869568
SRR1383456.7964	IGHV_2		0.0
SRR1383456.7994	IGHV_33		0.0
SRR1383456.8014	IGHV_14		0.0
SRR1383456.7975	IGHV_21		0.0
SRR1383456.7970	IGHV_10		0.0
SRR1383456.7904	IGHV_14		0.0
SRR1383456.8011	IGHV_2		0.0
SRR1383456.8024	IGHV_14		0.0
SRR1383456.8028	IGHV_26		0.0
SRR1383456.8031	IGHV_2		0.0
SRR1383456.8041	IGHV_2		0.0
SRR1383456.8086	IGHV_33		0.0
SRR1383456.8052	IGHV_35		0.04761904761904767
SRR1383456.8076	IGHV_10		0.17391304347826086
SRR1383456.8083	IGHV_11		0.0
SRR1383456.8038	IGHV_7		0.7307692307692308
SRR1383456.8084	IGHV_12		0.04166666666666663
SRR1383456.8065	IGHV_32		0.0
SRR1383456.8093	IGHV_37		0.15000000000000002
SRR1383456.8108	IGHV_14		0.045454545454545414
SRR1383456.8095	IGHV_45		0.6
SRR1383456.8089	IGHV_8		0.0
SRR1383456.8101	IGHV_2		0.0
SRR1383456.8138	IGHV_11		0.0
SRR1383456.8137	IGHV_2		0.0
SRR1383456.8142	IGHV_41		0.0
SRR1383456.8180	IGHV_3		0.0
SRR1383456.8132	IGHV_27		0.17391304347826086
SRR1383456.8115	IGHV_2		0.04347826086956519
SRR1383456.8121	IGHV_7		0.0
SRR1383456.8157	IGHV_2		0.0
SRR1383456.8144	IGHV_13		0.0
SRR1383456.8152	IGHV_26		0.0
SRR1383456.8179	IGHV_2		0.0
SRR1383456.8212	IGHV_2		0.0
SRR1383456.8197	IGHV_28		0.04166666666666663
SRR1383456.8189	IGHV_13		0.0
SRR1383456.8161	IGHV_2		0.0
SRR1383456.8266	IGHV_2		0.0
SRR1383456.8195	IGHV_31		0.5769230769230769
SRR1383456.8057	IGHV_37		0.0
SRR1383456.8315	IGHV_44		0.0
SRR1383456.8292	IGHV_33		0.0
